Name,Average_User_Rating,User_Rating_Count,Price,Age_Rating,Primary_Genre,Specific_Genre,Size,Original_Release_Year
Ninja Mouse Cheese Grab Mayhem,NA,NA,0,4+,Games,Family,6631424,2014
Tsumego Pro (Go problems),4.5,772,0,4+,Games,Strategy,42940416,2014
HexLogic - Seashells,NA,NA,1.99,4+,Games,Puzzle,19480576,2014
Basra!,4,17,0,4+,Games,Entertainment,32092160,2014
Predikt - Hidden Object Puzzle Game,4.5,8,0,4+,Games,Entertainment,5627904,2014
Blackjack Solitaire Supreme,4.5,21,0,4+,Games,Card,23976960,2014
Chain Reactions,5,9,0,4+,Games,Strategy,9876480,2014
59049!,4,11,0,4+,Games,Board,14458880,2014
Logis Tycoon,3.5,17,0,4+,Games,Strategy,46927872,2014
Tactile Wars,3.5,9606,0,9+,Games,Strategy,591724544,2015
Jewel Fever 2 HD,4,101,0,4+,Games,Strategy,69408768,2014
Xpert Eleven Soccer Manager,3,6,0,12+,Games,Sports,51565568,2014
Toilet Treasures - Time for a Bathroom Adventure Game,4,743,0,9+,Games,Simulation,86988800,2014
Quicksilver Ball Game,NA,NA,0,4+,Games,Strategy,16166912,2014
2048 Backwards,NA,NA,0,4+,Games,Strategy,20171776,2014
Battle Fleet 2,4.5,112,9.99,12+,Games,Simulation,786841600,2014
Sling Hit,NA,NA,0,4+,Games,Casual,19684352,2014
80 Days,4.5,1999,4.99,12+,Games,Strategy,193308672,2014
Jogo Caf\xe9 do S\xedtio,NA,NA,0,4+,Games,Strategy,35500032,2014
Board for MtG,NA,NA,0,4+,Games,Productivity,4804608,2014
Corn Pop - Popcorn collector,NA,NA,0,4+,Games,Simulation,94787584,2014
Mafia Mystery,4.5,3272,0,4+,Games,Social,29451264,2014
Toilet Paper Tycoon: Make It Rain In The Bathroom Game,3.5,23,0,4+,Games,Casual,9482240,2014
400 Arba3meyeh Singleplayer,2.5,12,0,4+,Games,Entertainment,45363200,2014
2048 Tetro,NA,NA,0,4+,Games,Puzzle,44147712,2014
Metro 2033 Wars,4,56,0,17+,Games,Role,433802240,2017
Canada Game,NA,NA,0,4+,Games,Strategy,2691072,2014
Bug Village Smasher Amazing War Quest,NA,NA,0,4+,Games,Strategy,19189760,2014
Hidden Object Countryside Love,4,19,0,4+,Games,Strategy,47676416,2014
Star Realms,4.5,1798,0,4+,Games,Card,526649344,2014
Tiny Guardians,4.5,1441,3.99,9+,Games,Adventure,521037824,2015
Gingerbread Cookie Run FREE- A Dash Through the Bread Line,4.5,8,0,4+,Games,Casual,11137024,2014
Ant War Games,NA,NA,0.99,4+,Games,Board,38272000,2014
Doors & Keys,4.5,153,0,4+,Games,Puzzle,32260096,2014
Pull Sticks,NA,NA,0,4+,Games,Family,69184512,2014
Tens\u2122,NA,NA,0,4+,Games,Strategy,3039232,2014
100 - The Edition of Cups and Balls,5,24,0,4+,Games,Entertainment,14996480,2014
Dungeon of the Endless,4.5,132,3.99,9+,Games,Role,370667520,2015
Monstersmash,NA,NA,0,9+,Games,Entertainment,49473536,2016
Civil War Battles - Atlanta,NA,NA,2.99,12+,Games,Strategy,59075584,2014
Tap Baby Dragon - Lucky Falling Escape,NA,NA,0,4+,Games,Entertainment,28782592,2014
Trucker Parking Simulator Deluxe,NA,NA,0,4+,Games,Strategy,17166336,2014
Tactics Maiden,5,53,0,12+,Games,Role,106678272,2014
Chinese Chess Premium,4,13,4.99,4+,Games,Strategy,54342656,2014
Past Mistakes - Science Fiction dystopian Book app,4.5,62,0,17+,Games,Simulation,60119040,2014
Celestial Fleet,4,51,0,9+,Games,Simulation,97300480,2015
Hex Board Game,NA,NA,0,4+,Games,Strategy,5238784,2014
Fruit Line Link Quest Match Puzzle,NA,NA,0,4+,Games,Puzzle,13090816,2014
2048 - Supports Undo,NA,NA,0,4+,Games,Entertainment,6544384,2014
Baby Learn Animals - Baby Where,NA,NA,0,4+,Games,Education,53729280,2014
"""Don't Drop The Ball!!!""",NA,NA,0,4+,Games,Action,4988928,2014
Follow the Thin Line - Move the Dot with Your Finger,2.5,49,0,4+,Games,Strategy,10661888,2014
Drawtopia Lite,4.5,68,0,4+,Games,Puzzle,81292288,2014
Bacon Food Clickers: 100 Click Challenge FREE - Catch that Hot Pig Smell!,2.5,6,0,4+,Games,Family,10387456,2014
"""Wild Dolphin Flipper Friend's! - FREE Game""",NA,NA,0,4+,Games,Entertainment,43560960,2014
Brofist Legend,4,12,0,4+,Games,Entertainment,50318336,2015
Medieval Merchant,3,10,0,4+,Games,Casual,38834176,2014
CivCrafter,4.5,27183,0,4+,Games,Role,205846528,2015
Fast Shogi Pro,NA,NA,0,4+,Games,Education,13356032,2014
Happy Fish Fall Down,NA,NA,0,4+,Games,Entertainment,67801088,2014
Lovebirds - The Game,4,15,0,4+,Games,Strategy,3166208,2014
100 Doors Escape Now,4,10,0,4+,Games,Puzzle,89452544,2014
Zoo Turn,4,7,0,4+,Games,Puzzle,207343616,2014
Centaur Hunter,5,9,0,4+,Games,Action,90932224,2015
Puzzle Heroes - Fantasy RPG Adventure Game,4.5,103,0,9+,Games,Strategy,30748672,2014
Dino Bash - Defend & Fight,5,2428,0,9+,Games,Action,230885376,2016
Executioner 2,4.5,27,0,17+,Games,Entertainment,82410496,2014
Bubble Crush - Highly Addictive Game,NA,NA,0,4+,Games,Puzzle,66023424,2016
GREG - A Mathematical Puzzle Game To Train Your Brain Skills,4.5,655,0.99,4+,Games,Puzzle,6219776,2014
Quackapult,NA,NA,0,4+,Games,Strategy,20033536,2014
"""Papa's Wingeria HD""",4.5,486,2.99,4+,Games,Simulation,56778752,2014
Cut The Ice Blocks With Three Slices,4,7,0.99,4+,Games,Puzzle,10871808,2014
Cut Ice Blocks With Three Slices Pro,5,26,0,4+,Games,Entertainment,15232000,2014
Spill Zone,5,212,0,4+,Games,Entertainment,40364032,2015
Super Jewel Mania 3 : Egypt Quest Match 3 Game,5,1477,0,4+,Games,Strategy,129021952,2014
Baduk Cap,5,12,3.99,4+,Games,Strategy,41877504,2014
15 Puzzle - Supports Hint,NA,NA,0,4+,Games,Puzzle,8169472,2014
Palets,3.5,5,0,4+,Games,Strategy,2932736,2014
Hearts: single & multiplayer,3.5,18,0,4+,Games,Strategy,60989440,2015
Sweet Hazard,4.5,48,0,12+,Games,Action,35144704,2014
Perfect Path,NA,NA,0,4+,Games,Puzzle,27265024,2016
Puppy vs Cat,NA,NA,0,4+,Games,Action,19652608,2014
Duo Pop,NA,NA,0,4+,Games,Entertainment,12156928,2014
243,NA,NA,0,17+,Games,Health,11110400,2014
Pencil War,NA,NA,0,9+,Games,Strategy,15659008,2014
Tiny Ninja War Fighter Match,NA,NA,0,4+,Games,Board,77832192,2014
"""Bouncy Samurai - Tap to Make Him Bounce, Fight Time and Don't Touch the Ninja Shadow Spikes""",4,72,0,4+,Games,Action,15889408,2014
Ball Tilt Labyrinth Maze: Fall Down and Live,3,10,0,4+,Games,Casual,33275904,2014
Hidden Objects Airplanes & Airports Object Time,4.5,21,0,4+,Games,Puzzle,61026304,2014
Bad Star,NA,NA,1.99,4+,Games,Casual,200372224,2014
Tile Tap Arcade - Piano Scale Edition,NA,NA,0,4+,Games,Entertainment,15851520,2014
Stick Castles War,3.5,71,0,12+,Games,Strategy,2760704,2014
TankLiver Online,NA,NA,0,9+,Games,Action,42209280,2014
Towers And Magic,NA,NA,0,12+,Games,Casual,144314368,2015
Tractor Crew,3.5,38,0,4+,Games,Strategy,186656768,2014
Adventures of Tony Dum Dum,4.5,11,0,12+,Games,Entertainment,105046016,2014
Monument Builders: Cathedral Rising,2.5,6,0,4+,Games,Strategy,331694080,2014
Speedy Fingers - Tap The Number,NA,NA,0,4+,Games,Entertainment,11329536,2014
Bunny Blocks,NA,NA,0,4+,Games,Strategy,39498752,2014
2048 Thema,NA,NA,0,4+,Games,Puzzle,111053824,2014
Doge Miner - Doge Coin Clicker,4.5,2188,0,4+,Games,Simulation,87956480,2014
Grumpy Aliens Unite,5,6,0,4+,Games,Entertainment,36690944,2014
Ultimate_Sudoku,NA,NA,0,4+,Games,Puzzle,6676480,2014
Ultimate_Sudoku,NA,NA,0,4+,Games,Puzzle,6676480,2014
Musical Dots,NA,NA,0,4+,Games,Puzzle,3440640,2014
"""Freakin' Swimmin' Duck""",4,5,0,4+,Games,Strategy,28398592,2014
Food Saga Puzzle Blitz 2: Hidden Fruit of Magic Match  - Free Game Edition,NA,NA,0,4+,Games,Strategy,40460288,2014
Flick Knights,3,67,0,9+,Games,Action,231718912,2014
FlipPix Jigsaw - Notes,3,5,1.99,4+,Games,Strategy,45425664,2014
Stick Clan Wars,3,50,0,12+,Games,Strategy,26943488,2014
Metro Mayhem - Traffic Sim Drive Smash and Chase Rally GT,NA,NA,0,4+,Games,Simulation,15728640,2014
Brazil vs Germany - The 7-1 Soccer Game,4,29,0,4+,Games,Entertainment,37056512,2014
VEGA Conflict,4,5561,0,9+,Games,Action,179540992,2015
B100S -Auto Dungeon RPG-,NA,NA,0,4+,Games,Role,85229568,2014
Atomic Lumen,NA,NA,0,4+,Games,Strategy,15790080,2014
Flower Garden Bubble Dots: Match Threes Across The Board,4.5,48,0,4+,Games,Puzzle,51494912,2014
Galcon 2: Galactic Conquest,4,725,0,12+,Games,Casual,40577024,2014
Khmer Croix Game,4,6,0,4+,Games,Strategy,16318464,2014
100 - Cups and Balls Ed. HD,5,15,0,4+,Games,Board,18603008,2014
69,5,10,0,4+,Games,Strategy,18050048,2014
Engines of Vengeance,NA,NA,0.99,4+,Games,Strategy,340090880,2015
Toag,NA,NA,0,4+,Games,Board,87687168,2014
Twitchy Thrones,5,14,0,12+,Games,Action,59801600,2014
Spartan Warrior : Battle of clans,4,7,0,4+,Games,Entertainment,53198848,2014
Flowers 2048 FREE - Pretty Sliding Puzzle Game,NA,NA,0,4+,Games,Strategy,13094912,2014
Pick Fruits,NA,NA,0,4+,Games,Trivia,45355008,2014
Goal Kick Evolution,4.5,6,0,4+,Games,Sports,14114816,2014
Pfitschigogerl,NA,NA,0,17+,Games,Sports,153415680,2014
Last Hit Trainer for League of Legends,3,18,0,9+,Games,Strategy,19632128,2014
Scorpion Solitaire,NA,NA,0,4+,Games,Card,20999168,2014
Empires & Allies,4.5,41641,0,12+,Games,Action,202408960,2015
Flimsy Logic,NA,NA,0.99,4+,Games,Strategy,20405248,2014
WinterForts: Exiled Kingdom Empires at War (Strategic Battles and Guilds),4,131,0,9+,Games,Simulation,229527552,2014
Sabotage!,5,7,0,12+,Games,Entertainment,2662400,2014
Baby Learn Transport - Baby Where,NA,NA,0,4+,Games,Education,60175360,2014
Viruses in War,NA,NA,0.99,4+,Games,Puzzle,10296320,2014
4096 slider puzzle - match adjacent numbers to make tile like 2048,NA,NA,0,4+,Games,Strategy,585728,2014
GrandChief,NA,NA,0,12+,Games,Strategy,152914944,2014
App Game Inc.,NA,NA,0.99,4+,Games,Entertainment,24448000,2015
EP Chain Reaction,NA,NA,0,4+,Games,Puzzle,81672192,2014
Clash of Castles,NA,NA,0,9+,Games,Strategy,99512320,2014
Crash circuit -  \u0644\u0639\u0628\u0629 \u0633\u064a\u0627\u0631\u0627\u062a  \u062a\u0641\u062d\u064a\u0637 \u0643\u0631\u0627\u0634 \u0641\u064a \u0627\u0644\u062d\u0644\u0628\u0629,3.5,68,0,4+,Games,Racing,50795520,2014
American Beach Girl Break FREE! - A Hot Summer Style Swimsuit Dress Up Party,2.5,13,0,4+,Games,Family,32059392,2014
Rela\xe7\xe3o entre \xe2ngulos,NA,NA,0,4+,Education,Games,25493504,2014
Acentua\xe7\xe3o das parox\xedtonas,NA,NA,0,4+,Education,Trivia,28667904,2014
Marine Rescue Free,NA,NA,0,4+,Games,Simulation,17890304,2015
Aspectos sociais da Europa,NA,NA,0,4+,Education,Strategy,27279360,2014
American Civil War,3,10,1.99,4+,Games,Strategy,24520704,2014
TimeCraft,NA,NA,0,4+,Games,Strategy,27042816,2014
Super Chicken Rescue Jump,NA,NA,0,4+,Games,Entertainment,53043200,2014
Moto X Extreme FREE - Awesome Bike Jumping Stunt,NA,NA,0,4+,Games,Simulation,22962176,2014
Quarry Truck Driver FREE - A Construction Delivery Simulator for Boys,NA,NA,0,4+,Games,Strategy,16031744,2014
Zumi War-Fare - A Bubble Shooter Showdown With Military Tanks (Artillery Game),3,7,0,9+,Games,Entertainment,109518848,2014
Iron Desert - Fire Storm,4.5,2149,0,12+,Games,Action,87571456,2014
Dangling Cute Cat Strategy Game,NA,NA,0,4+,Games,Entertainment,38617088,2014
Hero Tap: The Finger of Justice,4.5,11,0,9+,Games,Entertainment,49688576,2014
Crack Attack!,4.5,148,0,4+,Games,Entertainment,110086144,2015
Block Monster Slayer of Legends - Mini Mine Army Shooter and Survival Game,3.5,6,0,4+,Games,Casual,9891840,2014
Unblock My Car : UMC,3.5,5,0,4+,Games,Puzzle,29523968,2014
Qui a refroidi Lemaure ?,NA,NA,0,17+,Games,Entertainment,156274688,2014
2048 Glow - Impossible Number Game,NA,NA,0,4+,Games,Strategy,5091328,2014
Fight the Fire,4,20,0,9+,Games,Strategy,25546752,2014
"""Where's that Wally? - needle hay.stack seek.er and look for Waldo game.s""",2.5,11,0,4+,Games,Entertainment,37445632,2014
"Hopping Mad by ""Totally Awesome Apps""",NA,NA,0,9+,Games,Entertainment,12935168,2014
Star Conquest - Galaxian Trek and Planet Wars,NA,NA,0.99,4+,Games,Role,39099392,2014
Laundry Mania,5,27,0,4+,Games,Strategy,21647360,2014
"Super Smash Bird Knockout Party FREE- Tiny Bird Swing, Punch And Hit!",3,8,0,4+,Games,Family,24719360,2014
Rupie: city clicker hero,4.5,74,0,4+,Games,Simulation,50122752,2014
Get Out In Time!,NA,NA,0,4+,Games,Strategy,851968,2014
The Terminal 1,2,15,0.99,9+,Games,Strategy,61602816,2014
Happy Fatty Zombie Birds Eat The Tiny Birdies,NA,NA,0,4+,Games,Strategy,22548480,2014
Black Titles,NA,NA,0,4+,Games,Strategy,823296,2014
ASTRONEST - The Beginning,4.5,2839,0,4+,Games,Strategy,230343680,2014
128,NA,NA,0,4+,Games,Puzzle,10358784,2014
Plants VS Bugs,4.5,110,0,9+,Games,Entertainment,71777280,2014
"""Alpaca vs. Giraffe Boxing Evolution FREE- It's a Real Animal Punch Revolution!""",3,5,0,4+,Games,Entertainment,30556160,2014
Gems Shift,NA,NA,0,4+,Games,Entertainment,13030400,2014
Cow Evolution,5,22199,0,9+,Games,Entertainment,89837568,2014
Super Awesome Quest,4.5,31,0,12+,Games,Role,135830528,2015
Woman of Wonder - A Super Girl Jumper,NA,NA,0,4+,Games,Entertainment,23048192,2014
BigBang 2048,4.5,27,0,4+,Games,Strategy,22446080,2015
Potato Runner Dash - A Veggie Quest Mania,NA,NA,0,4+,Games,Casual,20869120,2014
Emoji Rush,5,5,0,4+,Games,Strategy,8965120,2014
Ball State Achievements,3,30,0,4+,Education,Games,16168960,2014
Escape the Room Epic,2,28,0,9+,Games,Trivia,86233088,2014
"Super Red Dot Jumper - Make the Bouncing Ball Jump, Drop and then Dodge the Block",4,64,0,4+,Games,Entertainment,24961024,2014
Final Stand: Waterloo,4.5,12262,0,12+,Games,Action,81772544,2014
Super Flying Turtle,5,5,0,4+,Games,Entertainment,35409920,2014
Pop The Balloons Pro,3.5,16,0,4+,Games,Family,10534912,2014
Avoid The Pipes,4,5,0,4+,Games,Strategy,16945152,2014
Sudoku \u229e,4,171,0,4+,Games,Education,25603072,2014
Chess \u25e7,4.5,120,0,9+,Games,Strategy,55102464,2014
Adelantado Trilogy. Book Three (Free),NA,NA,0,4+,Games,Entertainment,281853952,2015
Adelantado Trilogy. Book Three HD (Free),3.5,8,0,4+,Games,Entertainment,281853952,2015
Adelantado Trilogy. Book Three HD (Premium),4,54,3.99,4+,Games,Strategy,282017792,2015
Flockers,4.5,41,0,9+,Games,Strategy,554553344,2015
Falling Block: Matching Game,NA,NA,0,4+,Games,Puzzle,1282048,2014
Ultimate Block Puzzle Solver,NA,NA,0,4+,Games,Strategy,27081728,2014
Bunny Bear,NA,NA,0,4+,Games,Strategy,19228672,2014
How to do Magic - Street Magic Tips and Tricks,NA,NA,0.99,17+,Games,Entertainment,54870016,2014
VPET Planets,4,5,1.99,4+,Games,Entertainment,5341184,2015
Clash Warlords,4.5,246,0.99,9+,Games,Strategy,118681600,2014
Liga Mexico Predictor,3.5,5,0,4+,Games,Sports,9871360,2014
Cake Delivery Race - Sweet Treat Rush,NA,NA,0,4+,Games,Action,17174528,2014
Adventure Monsters Lost in Space \u2013 Demon vs. Alien War of the Galaxy,NA,NA,0,12+,Games,Books,15388672,2014
DoDots: Capture the Rival,4.5,6,0,4+,Games,Puzzle,23793664,2015
Bundesliga Predictor,NA,NA,0,4+,Games,Strategy,16451584,2014
2048 Advanced,NA,NA,0,4+,Games,Board,15769600,2014
Airship Bakery,4,56,0,4+,Games,Puzzle,53927936,2014
Ice Bears,NA,NA,0,9+,Games,Strategy,15626240,2014
Just Solitaire: La Belle Lucie,4.5,84,0,4+,Games,Card,29378560,2014
H\u1ed3ng Nhan Tam Qu\u1ed1c,4.5,69,0,4+,Games,Strategy,166717440,2014
Age of Kingdoms : Civilization,4,422,0,12+,Games,Strategy,155245568,2014
Smashed Crabs : Smashing Mania Games to Save Girl for Kids and Adult.,NA,NA,0,9+,Games,Entertainment,9515008,2014
Make it Red,3.5,5,0,4+,Games,Strategy,16707584,2014
Jumping Jack - Tap So No One Dies,NA,NA,0,4+,Games,Strategy,16744448,2014
My Top Fashion Girl Dash FREE - World of a Modern Hot Hollywood Celebrity,NA,NA,0,4+,Games,Entertainment,25571328,2014
Pocket Tower\uff0dSkyscraper Tycoon,4.5,920,0,4+,Games,Simulation,141263872,2018
Chess Online +,4.5,943,0,12+,Games,Board,44003328,2014
100 Pinballs - Toilet Fun Mini Game,4.5,8,0,4+,Games,Sports,13698048,2014
My Land,4,137,0,4+,Games,Simulation,141152256,2014
Hercules Desert Boxing - Fist Hero Knock Down FREE,NA,NA,0,4+,Games,Strategy,32182272,2014
Gopher It,NA,NA,0,4+,Games,Strategy,19916800,2016
Fleet Battle: Sea Battle game,4.5,2699,0,4+,Games,Board,371000320,2014
Hitman Sniper,4.5,16906,0.99,17+,Games,Action,1096585216,2015
Reconquista Aid,NA,NA,0,4+,Games,Board,27148288,2014
I Scream Rush,4.5,7,0,4+,Games,Strategy,33144832,2014
Clear for Action,3.5,6,0,12+,Games,Strategy,57628672,2015
TicTac5,NA,NA,0,4+,Games,Strategy,2936832,2014
Draft Day Fantasy Football,3,85,0,4+,Games,Sports,93591552,2014
BubbleTT : Oh! My Fart (The Funniest Casual Game),NA,NA,0,4+,Games,Entertainment,26275840,2014
Billy Bug,NA,NA,0.99,4+,Education,Strategy,51867648,2014
MUTALE,NA,NA,0,4+,Games,Puzzle,23830528,2014
Kingdom Rush Origins HD,5,8426,4.99,9+,Games,Action,594053120,2014
Kingdom Rush Origins,5,8870,2.99,9+,Games,Strategy,301697024,2014
Euro Billionaire: Cash Clicker,NA,NA,0,4+,Games,Puzzle,15964160,2014
Conquer the Sea - Ultimate Block War against the Pixel Navy Empire,NA,NA,0,4+,Games,Entertainment,17489920,2014
"""Two's Pro""",NA,NA,0,4+,Games,Entertainment,6324224,2014
Haypi Kingdom: The Return of the King,4,820,0,4+,Games,Entertainment,75834368,2014
Shoot,NA,NA,0,4+,Games,Strategy,4956160,2014
"""Alan Brazil's Fantasy Fever""",NA,NA,0,12+,Games,Sports,73833472,2014
Squares,NA,NA,0,4+,Games,Puzzle,2727936,2014
Fred the Preparedness Dog,NA,NA,0,4+,Games,Puzzle,119853056,2014
1 - 100,4.5,7,0,4+,Games,Entertainment,17793024,2014
Chess Duel,3.5,9,0,4+,Games,Strategy,3190784,2014
Engineering your Tomorrow,3.5,8,0,4+,Education,Strategy,38846464,2014
Millisecond Math PRO,NA,NA,0,4+,Games,Entertainment,8859648,2014
Sushi Samurai Chef: Japanese Restaurant Chop,2,5,0,4+,Games,Simulation,32301056,2014
Carc Tools,NA,NA,7.99,4+,Games,Board,24466432,2014
On/Off - Addicting Puzzle Game,NA,NA,0,4+,Games,Puzzle,11462656,2014
Unlock The Lock,NA,NA,0,4+,Games,Puzzle,55472128,2014
Numbreaker,NA,NA,0,4+,Games,Education,30019584,2014
Numbreaker,NA,NA,0,4+,Games,Education,30019584,2014
Drible Football,NA,NA,0,4+,Games,Entertainment,250265600,2014
SpeedSwipe - Swipe the Arrows,4.5,76,0,4+,Games,Entertainment,14057472,2014
Pop-Corn,NA,NA,0.99,4+,Games,Strategy,13411328,2014
Treasure Island 3D,NA,NA,0,4+,Games,Adventure,58580992,2014
Fairy Tale Nail Salon - Put Some Art and Make Your Nails Beautiful!,NA,NA,0,4+,Games,Family,42487808,2014
2048 Infinity: Undo + Auto Game Save,NA,NA,0,4+,Games,Strategy,839680,2014
Fun color Puzzle,NA,NA,0,4+,Games,Strategy,28072960,2014
Diamond Twist Mania,NA,NA,0,4+,Games,Strategy,81050624,2014
Fruit Wars Puzzle,NA,NA,0,12+,Games,Action,18112512,2014
Frozen bridges free: bridge-construction simulator,NA,NA,0,4+,Games,Strategy,103648256,2015
Unicorn Zombie Attack,NA,NA,0,4+,Games,Strategy,10391552,2014
Pool Score,NA,NA,0,4+,Games,Sports,1400832,2014
Dac Rush in kickerinho path of deus ex,4.5,20,0,4+,Games,Trivia,4395008,2014
Pineapple - 13 Card Poker,4.5,560,0,12+,Games,Entertainment,40591360,2014
Castle War - Stickman Edition,3.5,14,0,17+,Games,Strategy,16924672,2014
Ancient Battle: Hannibal,4,41,2.99,12+,Games,Strategy,654365696,2014
King of the Dawn Adventure - Planet Apes Run Challenge,NA,NA,0,4+,Games,Entertainment,16564224,2014
Flying Guardian Rush - Tappy Grub Mania,NA,NA,0,4+,Games,Entertainment,14192640,2014
FireJumpers - Sandbox,4.5,119,0,4+,Games,Strategy,60750848,2014
Fruits Rescue,NA,NA,0,4+,Games,Puzzle,28028928,2014
Tank Driver - Destroy War Enemies!,NA,NA,0,4+,Games,Family,19423232,2014
CrossMind,NA,NA,0,4+,Games,Education,26143744,2014
"""2048: Pirate's Treasure Hunt FREE""",NA,NA,0,4+,Games,Strategy,21295104,2014
"""2048: Pirate's Treasure Hunt FREE""",NA,NA,0,4+,Games,Strategy,21295104,2014
Osurac CCG,NA,NA,0.99,9+,Games,Card,40238080,2015
Flick Football Field Goal Kick Blocker: Save The Kicker From Getting the Win,NA,NA,0,4+,Games,Sports,11726848,2014
Color Blocks - Pastime Logical Mind Teaser,NA,NA,0,4+,Games,Puzzle,19881984,2014
Pizza Game :Crush the insects and save your pizza from Insects Attack - \u0644\u0639\u0628\u0629 \u0633\u062d\u0642 \u0627\u0644\u062d\u0634\u0631\u0627\u062a \u0648\u062d\u0641\u0638 \u0627\u0644\u0628\u064a\u062a\u0632\u0627,NA,NA,0,4+,Games,Entertainment,41623552,2014
Dr.Prison,NA,NA,0,9+,Games,Role,377375744,2015
MEMORY GAME - WITH ENGLISH SYNONYM WORDS,NA,NA,0,4+,Games,Education,7361536,2014
Baby Learn Music,NA,NA,0,4+,Games,Education,43404288,2014
Spider Solitaire Kingdom,NA,NA,0,4+,Games,Card,13987840,2014
Pretty Little Unicorn Rush: Rainbow Pony Games for Girls,NA,NA,0,4+,Games,Strategy,12926976,2014
3D Grizzly Bear Flick 2014 / By Deer & Duck Trophy Hunt-ing Pro,NA,NA,0,4+,Games,Entertainment,70115328,2014
Crazy Jumpy Hedgehog Dash - Tunnel Escape Adventure,1.5,5,0,4+,Games,Entertainment,29847552,2014
Little Country Bird Escape - Feeding Chick Blitz LX,NA,NA,2.99,4+,Games,Entertainment,12840960,2014
Fruit Bombs Mania - Farm Fruity Dropper,NA,NA,0,4+,Games,Entertainment,9334784,2014
Adventure Hero,NA,NA,0,9+,Games,Adventure,143548416,2014
Bowman Battleship - Artillery Campaign & Online Multiplayer,4,122,0,12+,Games,Action,94126080,2014
Color Match: Time Attack,5,8,0,4+,Games,Strategy,6802432,2014
Aah! Grand Defense 2,4.5,376,0,4+,Games,Health,36588544,2014
Arrows Swipe Challenges - Arcade Master Challenges,4.5,5,0,4+,Games,Strategy,10186752,2014
Slot Machine Brain Game,NA,NA,0,12+,Games,Casino,20700160,2014
Zombies vs Machine,NA,NA,0,12+,Games,Strategy,94088192,2014
I did it,NA,NA,0,4+,Games,Puzzle,17698816,2014
Sushi Life,NA,NA,0,4+,Games,Strategy,123752448,2014
Airborne War,2.5,13,0,17+,Games,Action,15249408,2014
Clash of Seas,NA,NA,0,9+,Games,Strategy,383428608,2016
Smash and Kill Your Zombie Boss: Beat the Revolution,NA,NA,0,4+,Games,Casual,14856192,2014
Gem Detector,NA,NA,0.99,4+,Games,Strategy,15370240,2014
Hex Jewels!,5,280,0,4+,Games,Entertainment,85612544,2014
Jet Ski Joyride - A Speedy Wave Racer Jam FREE,NA,NA,0,4+,Games,Strategy,27340800,2014
3Q Thu Thanh,NA,NA,0,4+,Games,Social,67706880,2014
Jesus Says-Follow The Light,NA,NA,0,4+,Games,Puzzle,46641152,2014
MishMash XP,5,7,0,12+,Games,Strategy,25267200,2015
Chinese Pinyin Helper,NA,NA,0,4+,Education,Strategy,67681280,2014
Rock Vale,4.5,47,0,9+,Games,Strategy,144162816,2014
Planet of Climbing Apes - Climb and Avoid the Branches,3,6,0,4+,Games,Entertainment,16920576,2014
Boat Rush - Surf and Wave Splash Mad Traffic Trials MX,4.5,15,0,4+,Games,Entertainment,46657536,2014
Age of Lords: Legends & Rebels,4.5,675,0,12+,Games,Role,174684160,2015
Crossroad - Control Traffic At Rush Hour - Avoid Car Crashes,3.5,8,0,4+,Games,Action,22790144,2014
Lightsout - Light bulb Puzzle,NA,NA,0,4+,Games,Entertainment,1384448,2014
Minesweeper for iPhone & iPod touch,NA,NA,0,4+,Games,Strategy,1318912,2014
Deep Space Galactic War Free,3,14,0,4+,Games,Role,194126848,2014
Leprechaun Shamrock World Escape,NA,NA,0,4+,Games,Puzzle,50028544,2014
Smart Mouse Puzzle,NA,NA,0,4+,Games,Strategy,31020032,2014
Civil War: Gettysburg,2,48,4.99,9+,Games,Entertainment,287682560,2014
Adjust parking,NA,NA,0,4+,Games,Strategy,29441024,2014
Icewind Dale,4,279,9.99,12+,Games,Strategy,2996021248,2014
Impossible Stay In The Line Finger Game,3,21,0,4+,Games,Strategy,47173632,2014
Baby Shower Bingo,NA,NA,0,4+,Games,Strategy,11874304,2014
Battle Glory HD,3.5,99,0,17+,Games,Strategy,119495680,2014
Sixation,4,7,0,4+,Games,Strategy,26977280,2014
Chess Battle Quest,2,7,0,4+,Games,Board,457080832,2014
Ard Ri Tactics,4.5,12,0,9+,Games,Board,100369408,2014
Equal 10 Lite,5,6,0,4+,Games,Trivia,15232000,2014
Click and Conquer: Medieval Ages,4.5,16,0,4+,Games,Casual,26300416,2014
RollingStarPro,NA,NA,0,4+,Games,Entertainment,32059392,2015
Occupy the tribe,NA,NA,0,4+,Games,Strategy,29283328,2014
Hacker Outbreak,4,27,0,4+,Games,Casual,62668800,2014
Amazing Bricks With Spikes,NA,NA,0,4+,Games,Casual,15187968,2014
Style Connect,NA,NA,0,4+,Games,Strategy,41623552,2014
Happy Linker - Love eliminate,NA,NA,0,4+,Games,Strategy,17006592,2014
Color King: Clear the Screen!,4.5,19,0,4+,Games,Strategy,7548928,2014
Zombie Nose Surgery - Lite,NA,NA,0,17+,Games,Adventure,17932288,2014
Slide Puzzle: Famous Artworks,NA,NA,0,4+,Games,Strategy,38087680,2014
FastBlast! Strategy Tiles Puzzle,4.5,12,0,4+,Games,Strategy,64299008,2014
ScADvenger,NA,NA,0,4+,Social Networking,Adventure,29395968,2016
